city_name,id_num,city_from,city_longitude,city_latitude,CityPopulation,connected_component,an,clusters
אבו ג'ווייעד (שבט),0,967.0,34.923,30.986,4649.0,0,0,5
אבו גוש,1,472.0,35.109190000000005,31.80629,7862.0,0,0,3
אבו סנאן,2,473.0,35.17197,32.95803,14306.0,0,0,5
אבו סריחאן (שבט),3,935.0,34.923,30.986,19.0,0,0,1
אבו עבדון (שבט),4,958.0,34.923,30.986,270.0,0,0,1
אבו עמאר (שבט),5,1042.0,34.923,30.986,103.0,0,0,8
אבו עמרה (שבט),6,932.0,34.923,30.986,10.0,0,0,5
אבו קורינאת (יישוב),7,1342.0,34.96358,31.141090000000002,1167.0,0,0,5
אבו קורינאת (שבט),8,968.0,34.923,30.986,6661.0,0,0,5
אבו רובייעה (שבט),9,966.0,34.923,30.986,8843.0,0,0,5
אבו רוקייק (שבט),10,961.0,34.923,30.986,10222.0,0,0,5
אבו תלול,11,1375.0,34.93223,31.1762,2133.0,0,0,5
אבטין,12,652.0,35.11128,32.76185,2887.0,0,0,5
אבטליון,13,1275.0,35.35034,32.836999999999996,455.0,0,0,8
אביאל,14,679.0,34.99155,32.53168,766.0,0,0,3
אביבים,15,1115.0,35.470290000000006,33.08873,465.0,0,0,1
אביגדור,16,819.0,34.742059999999995,31.709120000000002,829.0,0,0,5
אביחיל,17,175.0,34.870020000000004,32.34998,1253.0,0,0,3
אביטל,18,2052.0,35.306340000000006,32.55733,541.0,0,0,8
אביעזר,19,1070.0,35.01545,31.680870000000002,829.0,0,0,8
אבן יהודה,20,182.0,34.88381,32.267959999999995,14036.0,0,0,3
אבן מנחם,21,1081.0,35.292790000000004,33.07365,334.0,1,1,1
אבן ספיר,22,783.0,35.13414,31.763509999999997,640.0,0,0,3
אבן שמואל,23,400.0,34.76263,31.57545,1804.0,0,0,3
אבני איתן,24,4011.0,35.76381,32.82204,781.0,0,0,5
אבני חפץ,25,3793.0,35.07355,32.28552,2079.0,0,0,5
אבנת,26,3786.0,35.43688,31.679000000000002,229.0,2,1,1
אבשלום,27,1311.0,34.33205,31.194640000000003,318.0,0,0,1
אדורה,28,3759.0,35.018029999999996,31.55299,471.0,0,0,2
אדירים,29,113.0,35.27216,32.54915,313.0,0,0,5
אדמית,30,1068.0,35.211940000000006,33.07991,368.0,3,1,1
אדרת,31,1123.0,34.99493,31.660190000000004,851.0,0,0,3
אודים,32,446.0,34.84805,32.265879999999996,1075.0,0,0,5
אודם,33,4010.0,35.74879,33.194309999999994,176.0,0,0,1
אוהד,34,1046.0,34.43116,31.237479999999998,375.0,0,0,5
אום אל-פחם,35,2710.0,35.151540000000004,32.52896,56713.0,0,0,3
אום אל-קוטוף,36,2024.0,35.05467,32.469190000000005,1158.0,0,0,7
אום בטין,37,1358.0,34.88091,31.275479999999998,4481.0,0,0,5
אומן,38,1108.0,35.242459999999994,32.5635,486.0,0,0,0
אומץ,39,680.0,34.99416,32.37045,694.0,0,0,2
אופקים,40,31.0,34.62492,31.30668,32378.0,0,0,3
אור הגנוז,41,1294.0,35.4465,33.00528,610.0,0,0,8
אור הנר,42,67.0,34.60273,31.557570000000002,854.0,0,0,8
אור יהודה,43,2400.0,34.85172,32.02845,36587.0,0,0,3
אור עקיבא,44,1020.0,34.92085,32.50448,19417.0,0,0,3
אורה,45,780.0,35.15368,31.75432,1072.0,0,0,5
אורות,46,2012.0,34.73081,31.74407,517.0,0,0,0
אורטל,47,4013.0,35.76578,33.08351,331.0,4,1,1
אורים,48,403.0,34.522940000000006,31.30402,386.0,0,0,0
אורנית,49,3760.0,34.9941,32.122640000000004,9010.0,0,0,3
אושה,50,278.0,35.11423,32.79585,456.0,0,0,1
אזור,51,565.0,34.8076,32.023179999999996,13228.0,0,0,3
"אזור רמת גן של""ש",52,1908.0,,,,0,0,1
אחווה,53,1157.0,34.76975,31.744390000000003,181.0,0,0,8
אחוזם,54,821.0,34.77032,31.55347,454.0,0,0,5
אחוזת ברק,55,1330.0,35.338409999999996,32.642070000000004,2398.0,0,0,3
אחיהוד,56,785.0,35.17751,32.90507,965.0,0,0,8
אחיטוב,57,850.0,34.99115,32.38785,949.0,0,0,5
אחיסמך,58,804.0,34.9076,31.934079999999998,1303.0,0,0,5
אחיעזר,59,797.0,34.87158,31.981609999999996,1880.0,0,0,3
אטרש (שבט),60,965.0,34.923,30.986,3598.0,0,0,5
איבים,61,338.0,34.6093,31.53425,404.0,0,0,8
אייל,62,716.0,34.97894,32.2109,531.0,0,0,8
איילת השחר,63,77.0,35.57894,33.02236,985.0,0,0,5
אילון,64,294.0,35.21718,33.063320000000004,1101.0,0,0,1
אילות,65,1126.0,34.96221,29.58147,312.0,5,1,1
אילניה,66,49.0,35.40569,32.75207,529.0,0,0,8
אילת,67,2600.0,34.93796,29.58178,52507.0,0,0,3
אירוס,68,1336.0,35.16168,31.86338,691.0,0,0,8
איתמר,69,3762.0,35.30761,32.17418,1261.0,0,0,3
איתן,70,37.0,34.74801,31.57197,527.0,0,0,8
אכסאל,71,478.0,35.33067,32.67354,15039.0,0,0,8
אל סייד,72,1359.0,34.91511,31.285120000000003,6059.0,0,0,5
אל-עזי,73,1339.0,34.79792,31.72167,160.0,0,0,1
אל-עריאן,74,1316.0,35.125809999999994,32.4982,189.0,6,1,1
אל-רום,75,4003.0,35.771640000000005,33.17906,453.0,0,0,5
אלומה,76,1145.0,34.74435,31.65195,944.0,0,0,5
אלומות,77,330.0,35.54615,32.70596,433.0,0,0,1
אלון הגליל,78,1182.0,35.21917,32.75747,1107.0,0,0,8
אלון מורה,79,3579.0,35.33494,32.23268,1912.0,0,0,3
אלון שבות,80,3604.0,35.125679999999996,31.65519,3111.0,0,0,3
אלוני אבא,81,429.0,35.17329,32.729420000000005,942.0,0,0,8
אלוני הבשן,82,4017.0,35.83874,33.042590000000004,408.0,7,1,1
אלונים,83,285.0,35.14802,32.71543,634.0,0,0,5
אלי-עד,84,4002.0,35.73379,32.80288,470.0,0,0,8
אליאב,85,1365.0,34.92841,31.5302,613.0,0,0,5
אליכין,86,41.0,34.92179,32.40827,3466.0,0,0,5
אליפלט,87,730.0,35.54869,32.94815,615.0,0,0,8
אליקים,88,682.0,35.06708,32.63187,825.0,0,0,0
אלישיב,89,204.0,34.90923,32.38191,669.0,0,0,5
אלישמע,90,841.0,34.928090000000005,32.15354,1117.0,0,0,5
אלמגור,91,1125.0,35.60263,32.91138,398.0,8,1,1
אלמוג,92,3556.0,35.46102,31.78997,273.0,0,0,5
אלעד,93,1309.0,34.95805,32.05187,49179.0,0,0,3
אלעזר,94,3618.0,35.14097,31.66152,2448.0,0,0,3
אלפי מנשה,95,3750.0,35.007670000000005,32.166579999999996,8011.0,0,0,3
אלקוש,96,603.0,35.32294,33.033229999999996,262.0,0,0,8
אלקנה,97,3560.0,35.03609,32.108270000000005,3959.0,0,0,3
אמונים,98,772.0,34.67646,31.74359,918.0,0,0,5
אמירים,99,1064.0,35.45166,32.937290000000004,832.0,0,0,1
אמנון,100,1253.0,35.572559999999996,32.90345,456.0,0,0,8
אמציה,101,23.0,34.91361,31.533590000000004,232.0,0,0,1
אניעם,102,4012.0,35.73942,32.95785,541.0,0,0,4
אסד (שבט),103,960.0,34.923,30.986,1137.0,0,0,5
אספר,104,3754.0,35.18759,31.5855,917.0,0,0,3
אעבלין,105,529.0,35.17945,32.829240000000006,13515.0,0,0,8
אעצם (שבט),106,963.0,34.923,30.986,10853.0,0,0,8
אפיקים,107,176.0,35.57697,32.6791,1152.0,0,0,8
אפרת,108,3650.0,35.17228,31.67172,11420.0,0,0,3
ארבל,109,701.0,35.48431,32.81279,672.0,0,0,8
ארגמן,110,3598.0,35.52199,32.172470000000004,162.0,9,1,1
ארז,111,714.0,34.567009999999996,31.559829999999998,530.0,0,0,1
אריאל,112,3570.0,35.15984,32.09657,20488.0,0,0,3
אשבול,113,71.0,34.66773,31.445220000000003,622.0,0,0,8
אשדוד,114,70.0,34.659620000000004,31.80845,226329.0,0,0,5
אשדות יעקב  (איחוד),115,199.0,35.58019,32.65772,937.0,0,0,4
אשדות יעקב  (מאוחד),116,188.0,35.58202,32.66366,656.0,0,0,1
אשחר,117,1188.0,35.30052,32.88538,924.0,0,0,5
אשכולות,118,3722.0,34.90501,31.391070000000003,549.0,0,0,1
אשלים,119,1152.0,34.70173,30.96365,628.0,0,0,5
אשקלון,120,7100.0,34.57094,31.664740000000002,146442.0,0,0,5
אשרת,121,1256.0,35.15417,32.9707,557.0,0,0,1
אשתאול,122,740.0,35.008179999999996,31.78087,1136.0,0,0,5
באקה אל-גרביה,123,6000.0,35.04136,32.41966,30448.0,0,0,5
באר אורה,124,21.0,34.9774,29.712120000000002,1065.0,0,0,5
באר גנים,125,1376.0,34.60583,31.698179999999997,1751.0,0,0,3
באר טוביה,126,155.0,34.720729999999996,31.73384,1207.0,0,0,8
באר יעקב,127,2530.0,34.84052,31.943740000000002,28818.0,0,0,3
באר מילכה,128,1278.0,34.40663,30.933120000000002,202.0,10,1,1
באר שבע,129,9000.0,34.78848,31.256990000000002,210624.0,0,0,3
בארות יצחק,130,450.0,34.90979,32.0423,457.0,0,0,3
בארותיים,131,697.0,34.983129999999996,32.31984,991.0,0,0,8
בארי,132,399.0,34.49137,31.42407,1079.0,0,0,7
בוסתן הגליל,133,559.0,35.08242,32.95172,1019.0,0,0,1
בועיינה-נוג'ידאת,134,482.0,35.36952,32.812,10011.0,0,0,0
בוקעאתא,135,4001.0,35.78105,33.20787,6677.0,0,0,5
בורגתה,136,698.0,34.9623,32.32485,1036.0,0,0,5
בחן,137,2043.0,35.01907,32.34957,981.0,0,0,8
בטחה,138,762.0,34.63221,31.334770000000002,825.0,0,0,8
ביצרון,139,234.0,34.72895,31.79745,1137.0,0,0,5
ביר אל-מכסור,140,998.0,35.22227,32.78587,9729.0,0,0,0
ביר הדאג',141,1348.0,34.70309,31.024620000000002,5995.0,0,0,8
ביריה,142,368.0,35.4997,32.978390000000005,872.0,0,0,8
בית אל,143,3574.0,35.226440000000004,31.9411,5926.0,0,0,3
בית אל ב,144,3714.0,,,,0,0,1
בית אלעזרי,145,562.0,34.80256,31.843790000000002,1469.0,0,0,5
בית אלפא,146,95.0,35.4322,32.517309999999995,1034.0,0,0,0
בית אריה,147,3652.0,35.050090000000004,32.03723,5342.0,0,0,3
בית ברל,148,1076.0,34.92572,32.201409999999996,35.0,11,1,1
בית ג'ן,149,480.0,35.37997,32.96563,12169.0,0,0,5
בית גוברין,150,619.0,34.89629,31.614079999999998,402.0,0,0,8
בית גמליאל,151,571.0,34.76149,31.859709999999996,1044.0,0,0,5
בית דגן,152,466.0,34.82982,31.99962,7298.0,0,0,3
בית הגדי,153,723.0,34.612809999999996,31.429740000000002,826.0,0,0,8
בית הלוי,154,373.0,34.9311,32.35346,718.0,0,0,8
בית הלל,155,322.0,35.60548,33.20856,725.0,0,0,1
בית העמק,156,572.0,35.14529,32.97115,595.0,0,0,1
בית הערבה,157,3645.0,35.4995,31.80648,384.0,0,0,4
בית השיטה,158,242.0,35.447109999999995,32.55976,1298.0,0,0,8
בית זיד,159,353.0,35.11827,32.70045,128.0,12,1,1
בית זית,160,710.0,35.16211,31.78228,1432.0,0,0,8
בית זרע,161,143.0,35.5736,32.68902,633.0,0,0,8
בית חורון,162,3575.0,35.12655,31.878220000000002,1424.0,0,0,8
בית חירות,163,877.0,34.86907,32.37928,770.0,0,0,5
בית חלקיה,164,2033.0,34.812290000000004,31.79133,975.0,13,1,1
בית חנן,165,159.0,34.77256,31.93351,612.0,0,0,0
בית חנניה,166,800.0,34.92588,32.52884,791.0,0,0,5
בית חשמונאי,167,1050.0,34.9199,31.888659999999998,2189.0,0,0,3
בית יהושע,168,288.0,34.865790000000004,32.26024,977.0,0,0,5
בית יוסף,169,265.0,35.55039,32.55996,465.0,0,0,7
בית ינאי,170,200.0,34.86353,32.38134,321.0,0,0,4
בית יצחק-שער חפר,171,326.0,34.89143,32.334340000000005,2144.0,0,0,5
בית לחם הגלילית,172,430.0,35.192170000000004,32.73357,788.0,0,0,5
בית מאיר,173,751.0,35.03676,31.794079999999997,495.0,0,0,7
בית נחמיה,174,784.0,34.9555,31.97585,823.0,0,0,5
בית ניר,175,16.0,34.874359999999996,31.647579999999998,618.0,0,0,8
בית נקופה,176,672.0,35.126090000000005,31.80436,664.0,0,0,3
בית עובד,177,202.0,34.773990000000005,31.92197,302.0,0,0,8
בית עוזיאל,178,301.0,34.90453,31.87149,628.0,0,0,8
בית עזרא,179,756.0,34.6574,31.73674,1049.0,0,0,2
בית עריף,180,604.0,34.9346,31.99673,996.0,0,0,3
בית צבי,181,212.0,34.969770000000004,32.71937,97.0,0,0,0
בית קמה,182,598.0,34.76197,31.446659999999998,1037.0,0,0,8
בית קשת,183,365.0,35.39431,32.719359999999995,657.0,0,0,2
בית רבן,184,848.0,34.728429999999996,31.81738,476.0,0,0,5
בית רימון,185,1162.0,35.32976,32.78256,899.0,0,0,5
בית שאן,186,9200.0,35.50057,32.49904,18980.0,0,0,3
בית שמש,187,2610.0,34.98234,31.72474,132210.0,0,0,5
בית שערים,188,248.0,35.17565,32.69552,694.0,0,0,8
בית שקמה,189,747.0,34.60737,31.63921,818.0,0,0,5
ביתן אהרן,190,252.0,34.87061,32.36459,243.0,0,0,1
ביתר עילית,191,3780.0,35.11415,31.701,61297.0,0,0,5
בלפוריה,192,94.0,35.29598,32.62921,586.0,0,0,8
בן זכאי,193,760.0,34.72749,31.854709999999997,898.0,0,0,8
בן עמי,194,712.0,35.12408,33.00468,755.0,0,0,1
בן שמן (כפר נוער),195,1084.0,34.92719,31.95983,217.0,0,0,5
בן שמן (מושב),196,2013.0,34.92288,31.95188,794.0,0,0,8
בני ברק,197,6100.0,34.83591,32.09018,208031.0,0,0,5
בני דקלים,198,1368.0,34.917559999999995,31.517090000000003,1500.0,0,0,3
בני דרום,199,592.0,34.69187,31.81895,883.0,0,0,5
בני דרור,200,386.0,34.89847,32.26186,1186.0,0,0,5
בני יהודה,201,4015.0,35.68914,32.79882,1199.0,0,0,8
בני נצרים,202,1363.0,34.3139,31.13887,808.0,0,0,1
בני עטרות,203,448.0,34.91366,32.02364,836.0,0,0,5
"בני עי""ש",204,1066.0,34.76119,31.79135,6902.0,0,0,3
בני ציון,205,418.0,34.87061,32.220040000000004,1086.0,0,0,5
בני ראם,206,588.0,34.78989,31.77133,1335.0,0,0,8
בניה,207,685.0,34.74995,31.84415,852.0,0,0,5
בנימינה-גבעת עדה,208,9800.0,34.96732,32.51838,15971.0,0,0,3
"בסמ""ה",209,1326.0,35.1096,32.52848,10252.0,0,0,2
בסמת טבעון,210,944.0,35.13712,32.734359999999995,8001.0,0,0,5
בענה,211,483.0,35.28132,32.9293,8421.0,0,0,5
בצרה,212,389.0,34.87795,32.21402,1024.0,0,0,5
בצת,213,589.0,35.134409999999995,33.07096,395.0,0,0,1
בקוע,214,864.0,34.92579,31.82825,749.0,0,0,3
בר גיורא,215,823.0,35.07223,31.72982,612.0,0,0,0
בר יוחאי,216,1191.0,35.448409999999996,32.99771,1169.0,0,0,1
ברוכין,217,3744.0,35.0927,32.08101,1410.0,0,0,5
ברור חיל,218,428.0,34.64549,31.55759,887.0,0,0,5
ברוש,219,2060.0,34.63243,31.367409999999996,544.0,0,0,5
ברטעה,220,3098.0,35.20427,31.89804,1.0,0,0,1
ברכה,221,3710.0,35.26553,32.19251,2888.0,0,0,2
ברכיה,222,746.0,34.62489,31.67059,1203.0,0,0,5
ברקאי,223,617.0,35.0286,32.474920000000004,578.0,0,0,5
ברקן,224,3654.0,35.108979999999995,32.10583,1893.0,0,0,5
ברקת,225,2038.0,34.94481,32.01533,2105.0,0,0,8
בת הדר,226,1323.0,34.59667,31.647370000000002,679.0,0,0,8
בת חן,227,1361.0,34.8719,32.36027,498.0,0,0,5
בת חפר,228,1319.0,35.01368,32.333690000000004,5278.0,0,0,3
בת ים,229,6200.0,34.74922,32.01396,127772.0,0,0,5
בת עין,230,3794.0,35.10048,31.658509999999996,1649.0,0,0,3
בת שלמה,231,33.0,35.00353,32.60032,637.0,0,0,1
ג'דיידה-מכר,232,1292.0,35.14243,32.93274,21331.0,0,0,3
ג'ולס,233,485.0,35.18081,32.94042,6545.0,0,0,1
ג'לג'וליה,234,627.0,34.95726,32.147459999999995,10295.0,0,0,8
ג'נאביב (שבט),235,976.0,34.923,30.986,1363.0,14,1,1
ג'סר א-זרקא,236,541.0,34.90978,32.53692,15113.0,0,0,3
ג'ש (גוש חלב),237,487.0,35.4351,33.02262,3120.0,0,0,8
ג'ת,238,628.0,35.0281,32.40278,12252.0,0,0,8
גאולי תימן,239,872.0,34.90175,32.39235,363.0,0,0,1
גאולים,240,379.0,34.93752,32.30036,924.0,0,0,0
גאליה,241,853.0,34.76464,31.88578,1029.0,0,0,5
גבולות,242,352.0,34.46569,31.210720000000002,353.0,0,0,1
גבים,243,424.0,34.59632,31.507579999999997,581.0,0,0,8
גבע,244,86.0,35.37322,32.56655,610.0,0,0,8
גבע בנימין,245,3763.0,35.27344,31.849459999999997,5757.0,0,0,3
גבע כרמל,246,683.0,34.95479,32.66245,1021.0,0,0,5
גבעולים,247,2014.0,34.5903,31.39698,461.0,0,0,0
גבעון החדשה,248,3644.0,35.15838,31.84811,1141.0,0,0,3
גבעות בר,249,1344.0,34.75535,31.35753,1171.0,0,0,5
גבעת אבני,250,1293.0,35.4383,32.77564,2080.0,0,0,3
גבעת אלה,251,1288.0,35.24402,32.72193,1976.0,0,0,8
גבעת ברנר,252,147.0,34.80236,31.86471,2665.0,0,0,5
גבעת השלושה,253,870.0,34.92116,32.09779,651.0,0,0,3
גבעת זאב,254,3730.0,35.16408,31.86083,19205.0,0,0,3
"גבעת ח""ן",255,207.0,34.87599,32.16856,384.0,0,0,8
גבעת חיים (איחוד),256,2018.0,34.93298,32.399370000000005,1242.0,0,0,5
גבעת חיים (מאוחד),257,173.0,34.93045,32.39206,1046.0,0,0,5
גבעת יואב,258,4021.0,35.681459999999994,32.798759999999994,699.0,0,0,8
גבעת יערים,259,787.0,35.09263,31.786659999999998,1220.0,0,0,5
גבעת ישעיהו,260,919.0,34.94704,31.670740000000002,701.0,0,0,8
"גבעת כ""ח",261,802.0,34.93524,32.02982,885.0,0,0,1
"גבעת ניל""י",262,360.0,35.041129999999995,32.547709999999995,598.0,0,0,8
גבעת עוז,263,703.0,35.19859,32.555479999999996,402.0,0,0,1
גבעת שמואל,264,681.0,34.85175,32.07705,27236.0,0,0,3
גבעת שפירא,265,1077.0,34.87573,32.3573,279.0,0,0,5
גבעתי,266,793.0,34.68012,31.73152,951.0,0,0,5
גבעתיים,267,6300.0,34.810359999999996,32.07035,60872.0,0,0,3
גברעם,268,342.0,34.61273,31.59207,605.0,0,0,5
גבת,269,133.0,35.21297,32.67216,922.0,0,0,3
גדות,270,35.0,35.619279999999996,33.0189,416.0,15,1,1
גדיש,271,145.0,35.24501,32.55899,359.0,0,0,5
גדעונה,272,442.0,35.35882,32.54907,462.0,0,0,5
גדרה,273,2550.0,34.77734,31.814940000000004,28805.0,0,0,3
גונן,274,852.0,35.646029999999996,33.12457,417.0,0,0,0
גורנות הגליל,275,1219.0,35.249629999999996,33.0597,218.0,0,0,1
גזית,276,457.0,35.44721,32.63766,764.0,0,0,8
גזר,277,370.0,34.92057,31.876209999999997,316.0,16,1,1
גיאה,278,706.0,34.60407,31.627470000000002,776.0,0,0,5
גיזו,279,1043.0,34.93853,31.80483,199.0,0,0,1
גילון,280,1204.0,35.23662,32.90363,1171.0,0,0,5
גילת,281,736.0,34.651790000000005,31.32746,1467.0,0,0,3
גינוסר,282,262.0,35.52406,32.84975,626.0,0,0,8
גיניגר,283,92.0,35.259240000000005,32.66368,671.0,0,0,5
גינתון,284,863.0,34.91407,31.962770000000003,902.0,0,0,8
גלאון,285,393.0,34.848259999999996,31.63407,609.0,0,0,5
גלגל,286,3606.0,35.448479999999996,31.99948,179.0,0,0,8
גליל ים,287,346.0,34.8314,32.157340000000005,481.0,0,0,8
גלעד (אבן יצחק),288,369.0,35.07646,32.55677,499.0,0,0,8
גמזו,289,745.0,34.93987,31.92775,1098.0,0,0,5
גן הדרום,290,1072.0,34.69998,31.80483,515.0,0,0,7
גן השומרון,291,225.0,34.99852,32.46198,798.0,0,0,5
גן חיים,292,239.0,34.90527,32.19497,657.0,0,0,5
גן יאשיה,293,734.0,34.993359999999996,32.3498,859.0,0,0,0
גן יבנה,294,166.0,34.702709999999996,31.78752,23887.0,0,0,3
גן נר,295,1274.0,35.337709999999994,32.53079,2700.0,0,0,3
גן שורק,296,311.0,34.76034,31.9451,353.0,0,0,8
גן שלמה,297,144.0,34.798390000000005,31.8785,570.0,0,0,5
גן שמואל,298,72.0,34.95047,32.453959999999995,1033.0,0,0,8
גנות,299,836.0,34.829209999999996,32.018190000000004,433.0,0,0,5
גנות הדר,300,549.0,34.90061,32.32075,909.0,0,0,8
גני הדר,301,1103.0,34.8543,31.878659999999996,359.0,0,0,5
